eng,1.As the football saying ends: “The team wins. Loses...".?,1.Goalkeeper,2.Coach,3.Referee,4.Team,2
eng,2.What is the name of the extra time in a football match?,1.Overtime,2.Full time,3.Posttime,4.Relaxation,1
eng,3.How many crosses does a football goal have?,1.One,2.Two,3.Three,4.Four,2
eng,4.The penultimate match of the championship is... What?,1.Final,2.Semi-final,3.Play-Off,4.Offside,2
eng,5.How many assistants did a football referee have in 1891?,1.One,2.Two,3.Three,4.Four,2
de,1.Wie endet der Fußball-Spruch:„Die Mannschaft gewinnt. Verliert …“,1.Torhüter,2.Trainer,3.Schiedsrichter,4.Mannschaft,2
de,2.Wie heißt die Verlängerung bei einem Fußballspiel?,1.Verlängerung,2.Vollzeit,3.Nachspielzeit,4.Erholung,1
de,3.Wie viele Kreuze haben Fußballtore?,1.Eins,2.Zwei,3.Drei,4.Vier,2
de,4.Das vorletzte Spiel der Meisterschaft ist... Was?,1.Finale,2.Halbfinale,3.Entscheidungsspiel,4.Abseits,2
de,5.Wie viele Assistenten hatte ein Fußballschiedsrichter im Jahr 1891?,1.Eins,2.Zwei,3.Drei,4.Vier,2
nor,1.Hvordan slutter fotballordtaket: «Laget vinner. Taper ...".?, 1.Målvakt,2.Trener,3.Dommer,4.Lag,2
nor,2.Hva heter ekstratiden i en fotballkamp?,1.Overtid,2.Full tid,3.Ettertid,4.Avslapping,1
nor,3.Hvor mange kryss har fotballmål?,1.Ett,2.To,3.Tre,4.Fire,2
nor,4.Den nest siste kampen i mesterskapet er... Hva?,1.Finale,2.Semifinale,3.Play-Off,4.Offside,2
nor,5.Hvor mange assistenter hadde en fotballdommer i 1891?,1.En,2.To,3.Tre,4.Fire,2
